,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK
0,27232,2060118800,2060038000,2060037400,1,0,107,000,-,»õµ¿¾È1±æ,0,000,0,0,0,0,
1,27233,2060117000,2060037400,2060036900,1,0,107,000,-,»õµ¿¾È1±æ,0,000,0,0,0,0,
2,27240,2060023200,2060009100,2060008200,0,0,107,000,-,°ñ¾È±æ,0,000,0,0,0,0,
3,27241,2060020200,2060007300,2060008200,0,0,107,000,-,°ñ¾È1±æ,0,000,0,0,0,0,
4,27242,2060054800,2060017900,2060018900,0,0,107,000,-,¼ö³»°í±æ,0,000,0,0,0,0,
5,27243,2060051000,2060017200,2060016500,0,0,107,000,-,ÇâÇÐ±æ,0,000,0,0,0,0,
6,27244,2060049000,2060016300,2060015900,0,0,107,000,-,¹ßÀÌºÀ±æ,0,000,0,0,0,0,
7,27245,2060050200,2060016500,2060016300,0,0,107,000,-,¹ßÀÌºÀ±æ,0,000,0,0,0,0,
8,27246,2060035400,2060012400,2060011900,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
9,27247,2060081400,2060025800,2060025500,0,0,107,000,-,Á¤ÀÚÁß¾Ó±æ,0,000,0,0,0,0,
10,27248,2060075800,2060025000,2060023800,0,0,107,000,-,ÀåÀÚ°ñ±æ,0,000,0,0,0,0,
11,27249,2060064000,2060022000,2060020400,0,0,107,000,-,³»Á¤·Î,0,000,0,0,0,0,
12,27250,2060062600,2060020200,2060020100,0,0,107,000,-,´ÀÆ¼¸¶À»±æ,0,000,0,0,0,0,
13,27251,2060038600,2060013300,2060012800,0,0,107,000,-,¹é±Ã·Î,0,000,0,0,0,0,
14,27252,2060044400,2060014600,2060014500,0,0,107,000,-,ºÀ¿ìÀç±æ,0,000,0,0,0,0,
15,27253,2060021800,2060008600,2060007600,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
16,27254,2060015000,2060007200,2060005600,0,0,107,000,-,ÅºÃµ»ó·Î,0,000,0,0,0,0,
17,27255,2060016400,2060006200,2060006000,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
18,27256,2060013800,2280073500,2060006000,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
19,27257,2060075400,2060025200,2060023700,0,0,107,000,-,¹é±Ã·Î,0,000,0,0,0,0,
20,27258,2060063400,2060020400,2060020300,0,0,107,000,-,´ÀÆ¼¸¶À»±æ,0,000,0,0,0,0,
21,27259,2060021600,2060007800,2060007600,0,0,107,000,-,ÅºÃµ»ó·Î,0,000,0,0,0,0,
22,27260,2060048200,2060020100,2060015600,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
23,27261,2060072100,2060023600,2060022600,0,0,107,000,-,ºÐ´çÀåÅÍ±æ,0,000,0,0,0,0,
24,27262,2060070500,2060022600,2060022200,0,0,107,000,-,¼¼Áý±æ,0,000,0,0,0,0,
25,27263,2060070700,2060022800,2060022200,0,0,107,000,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,
26,27264,2060066500,2060023900,2060021200,0,0,107,000,-,´ëÁø±æ,0,000,0,0,0,0,
27,27265,2060066300,2060022800,2060021100,0,0,107,000,-,Àå¾È±æ,0,000,0,0,0,0,
28,27266,2060064800,2060020700,2060021100,0,0,107,000,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,
29,27267,2060064600,2060022200,2060020600,0,0,107,000,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,
30,27268,2060089200,2060028500,2060028100,0,0,107,000,-,¸Ô°Å¸®±æ,0,000,0,0,0,0,
31,27269,2060090800,2060029500,2060028600,0,0,107,000,-,È¿Çà±æ,0,000,0,0,0,0,
32,27270,2060091100,2060028600,2060029500,0,0,107,000,-,È¿Çà1±æ,0,000,0,0,0,0,
33,27271,2060090600,2060029500,2060028500,0,0,107,000,-,Á¡°ñ±æ,0,000,0,0,0,0,
34,27272,2060055400,2060018200,2060018400,0,0,107,000,-,ºÐ´ç·Î,0,000,0,0,0,0,
35,27273,2060055000,2060018200,2060018000,0,0,107,000,-,¼±ÁöºÀ±æ,0,000,0,0,0,0,
36,27274,2060052000,2060016900,2060017000,0,0,107,000,-,¼±ÁöºÀ2±æ,0,000,0,0,0,0,
37,27278,2060158700,2060050200,2060051900,0,0,107,000,-,¹ú¸»·Î,0,000,0,0,0,0,
38,27282,2060049100,2060015900,2060016300,0,0,107,000,-,¹ßÀÌºÀ±æ,0,000,0,0,0,0,
39,27283,2060050300,2060016300,2060016500,0,0,107,000,-,¹ßÀÌºÀ±æ,0,000,0,0,0,0,
40,27284,2060035500,2060011900,2060012400,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
41,27285,2060021500,2060007500,2060008400,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
42,27286,2060019500,2060006900,2060007500,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
43,27287,2060014700,2060005500,2060006500,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
44,27288,2060014900,2060005600,2060005700,0,0,107,003,-,±¸¹Ì·Î,0,000,0,0,0,0,
45,27289,2060062700,2060020100,2060020200,0,0,107,000,-,´ÀÆ¼¸¶À»±æ,0,000,0,0,0,0,
46,27290,2060038700,2060012800,2060013300,0,0,107,000,-,¹é±Ã·Î,0,000,0,0,0,0,
47,27291,2060044500,2060014500,2060014600,0,0,107,000,-,ºÀ¿ìÀç±æ,0,000,0,0,0,0,
48,27292,2060021900,2060007600,2060008600,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
49,27293,2060019300,2060006900,2060007000,0,0,107,000,-,ÁÖ°ø±æ,0,000,0,0,0,0,
50,27294,2060023500,2060008400,2060008300,0,0,107,000,-,±Ý°î·Î,0,000,0,0,0,0,
51,27295,2060028700,2060010100,2060009900,0,0,107,000,-,¹é±Ã·Î,0,000,0,0,0,0,
52,27296,2060018100,2060006400,2060007700,0,0,107,000,-,¿À¸®µé2±æ,0,000,0,0,0,0,
53,27297,2060017900,2060006400,2060006500,0,0,107,000,-,³ó¼ö»ê±æ,0,000,0,0,0,0,
54,27298,2060015100,2060005600,2060007200,0,0,107,000,-,ÅºÃµ»ó·Î,0,000,0,0,0,0,
55,27299,2060016500,2060006000,2060006200,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
56,27300,2060013900,2060006000,2280073500,0,0,102,000,-,ºÐ´çÀåÁö°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
57,27301,2060075500,2060023700,2060025200,0,0,107,000,-,¹é±Ã·Î,0,000,0,0,0,0,
58,27302,2060066400,2060021100,2060022800,0,0,107,000,-,Àå¾È±æ,0,000,0,0,0,0,
59,27303,2060064900,2060021100,2060020700,0,0,107,000,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,
60,27304,2060064700,2060020600,2060022200,0,0,107,000,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,
61,27305,2060064300,2060020500,2060021100,0,0,107,000,-,Àå¾È±æ,0,000,0,0,0,0,
62,27306,2060064500,2060020700,2060020600,0,0,107,000,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,
63,27307,2060067600,2060021400,2060022600,0,0,107,000,-,ºÐ´çÀåÅÍ±æ,0,000,0,0,0,0,
