,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,Shape_len
0,58901,2060010700,2040000200,2060004900,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2040000200,OEXT2060004900,OEXT2060010700,,highway,206,00000,,0.0127316571392
1,58908,2060010900,2040000200,2040000100,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2040000200,OEXT2040000100,OEXT2060010900,,highway,206,00000,,0.00888520384718
2,58909,2060010800,2040000100,2040000200,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2040000100,OEXT2040000200,OEXT2060010800,,highway,206,00000,,0.00887381684897
3,58910,2060007400,2060004100,2060002900,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004100,OEXT2060002900,OEXT2060007400,,highway,206,00000,,0.00428569865735
4,58911,2060009900,2060004600,2060004800,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,101,0,5,0,0,,5,,,OEXT2060004600,OEXT2060004800,OEXT2060009900,,highway,206,00000,,0.00305585666167
5,58912,2060009300,2060004100,2060004600,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,105,0,0,0,0,,5,,,OEXT2060004100,OEXT2060004600,OEXT2060009300,,highway,206,00000,,0.00240995039139
6,58913,2060010300,2060004100,2060004800,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004100,OEXT2060004800,OEXT2060010300,,highway,206,00000,,0.00411896796197
7,58914,2060011501,2060004900,1210000302,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004900,OEXT1210000302,OEXT2060011501,,highway,206,00000,,0.052550802152
8,58915,2060011401,1210000302,2060004900,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT1210000302,OEXT2060004900,OEXT2060011401,,highway,206,00000,,0.0525093622161
9,58919,2060010500,2060004800,2060004900,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004800,OEXT2060004900,OEXT2060010500,,highway,206,00000,,0.00348051567731
10,58920,2060010400,2060004900,2060004800,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004900,OEXT2060004800,OEXT2060010400,,highway,206,00000,,0.00341026373779
11,58921,2060010200,2060004800,2060004100,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004800,OEXT2060004100,OEXT2060010200,,highway,206,00000,,0.00416498294646
12,58922,2060007300,2060002900,2060004100,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060002900,OEXT2060004100,OEXT2060007300,,highway,206,00000,,0.00433640125329
13,58925,2060011200,2060004900,2040000100,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2060004900,OEXT2040000100,OEXT2060011200,,highway,206,00000,,0.0124022106465
14,58952,2060001201,2060002900,2060002901,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060002900,OEXT2060002901,OEXT2060001201,,highway,206,00000,,0.0265832976135
15,58953,2060001101,2060002901,2060002900,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060002901,OEXT2060002900,OEXT2060001101,,highway,206,00000,,0.0266098084485
16,154084,2060179000,2060055600,2280077100,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000052,,00000000000021,00000000000006,,,,206,60120,,0.00661963857697
17,162738,2060178200,2060056600,2060056500,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000050,,00000000000009,00000000000017,,,,206,60120,,0.00427448887907
18,162739,2060178300,2060056500,2060056600,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000046,,00000000000017,00000000000009,,,,206,60120,,0.00427328621108
19,162740,2060178400,2060056100,2060056000,0,0,101,004,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000066,,00000000000036,00000000000035,,,,206,60120,,0.0156833788128
20,162741,2060178500,2060056000,2060056100,0,0,101,004,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000065,,00000000000035,00000000000036,,,,206,60120,,0.0156613161709
21,162742,2060178600,2060056000,2060055800,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000021,,00000000000035,00000000000018,,,,206,60120,,0.00208042498369
22,162743,2060178700,2060055700,2060056000,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000003,,00000000000020,00000000000035,,,,206,60120,,0.00556213645017
23,162744,2060177500,2060056500,2060056200,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000016,,00000000000017,00000000000008,,,,206,60120,,0.00553830289002
24,162745,2060177600,2060056500,2060056400,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,40,5,0,0,,5,10000000000018,,00000000000017,00000000000029,,,,206,60120,,0.00294152674945
25,162746,2060177700,2060056300,2060056500,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,40,5,0,0,,5,10000000000019,,00000000000030,00000000000017,,,,206,60120,,0.00310175396483
26,162747,2060177800,2060056400,2060056200,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,40,5,0,0,,5,10000000000020,,00000000000029,00000000000008,,,,206,60120,,0.00263806631784
27,162748,2060177900,2060055800,2060055900,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,40,5,0,0,,5,10000000000022,,00000000000018,00000000000019,,,,206,60120,,0.00301253699924
28,162749,2060178000,2060056200,2060056300,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,40,5,0,0,,5,10000000000023,,00000000000008,00000000000030,,,,206,60120,,0.00255921099371
29,162766,2060178100,2060055800,2060055700,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000001,,00000000000018,00000000000020,,,,206,60120,,0.00350286197617
30,162775,2060176600,2060055700,2060055500,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,50,5,0,0,,5,10000000000024,,00000000000020,00000000000026,,,,206,60120,,0.00889010996015
31,162776,2060176700,2060055500,2060055700,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,60,5,0,0,,5,10000000000025,,00000000000026,00000000000020,,,,206,60120,,0.00643538625536
32,162777,2060176800,2060055500,2060055600,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,40,5,0,0,,5,10000000000026,,00000000000026,00000000000021,,,,206,60120,,0.00819901808889
33,162778,2060176900,2280077200,2060055500,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,60,5,0,0,,5,10000000000027,,00000000000007,00000000000026,,,,206,60120,,0.00533388859931
34,162786,2060177000,2060056200,2060056500,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000045,,00000000000008,00000000000017,,,,206,60120,,0.00555332635899
35,162787,2060177100,2060055700,2060055600,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000051,,00000000000020,00000000000021,,,,206,60120,,0.00182483275292
36,162791,2060177200,2060056400,2060056300,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,40,5,0,0,,5,10000000000058,,00000000000029,00000000000030,,,,206,60120,,0.00075482845007
37,162792,2060177300,2060056300,2060056400,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,40,5,0,0,,5,10000000000059,,00000000000030,00000000000029,,,,206,60120,,0.000754829002991
38,162793,2060177400,2280077200,2060055700,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000060,,00000000000007,00000000000020,,,,206,60120,,0.00433502798452
39,162801,2060178800,2060056200,2060056100,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000076,,00000000000008,00000000000036,,,,206,60120,,0.00234058246001
40,162802,2060178900,2060056100,2060056200,0,0,101,000,172,¿ëÀÎ-¼­¿ï °í¼Óµµ·Î,0,000,100,5,0,0,,5,10000000000075,,00000000000036,00000000000008,,,,206,60120,,0.00235200792237
41,23263,2060009400,2060004600,2060004100,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2060004600,OEXT2060004100,OEXT2060009400,,highway,206,00000,,0.0057300788395
42,23264,2060009700,2060004900,2060002900,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,101,0,5,0,0,,5,,,OEXT2060004900,OEXT2060002900,OEXT2060009700,,highway,206,00000,,0.0120282862247
43,23265,2060009800,2060004800,2060004600,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2060004800,OEXT2060004600,OEXT2060009800,,highway,206,00000,,0.00701572700392
44,23266,2060011300,2040000100,2060004900,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2040000100,OEXT2060004900,OEXT2060011300,,highway,206,00000,,0.0090740307127
45,23268,2060010600,2060004900,2040000200,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2060004900,OEXT2040000200,OEXT2060010600,,highway,206,00000,,0.00566991801849
46,216522,2060160600,2060052800,2060050700,0,0,107,000,-,Å¾°ñ2±æ,0,000,0,0,0,0,,5,,,OEXT2060052800,OEXT2060050700,OEXT2060160600,,sn_si-kg,206,00000,,0.00175326630485
47,216523,2060159800,2060052700,2060050500,0,0,107,000,-,Å¾°ñ1±æ,0,000,0,0,0,0,,5,,,OEXT2060052700,OEXT2060050500,OEXT2060159800,,sn_si-kg,206,00000,,0.00170904320343
48,216524,2060160400,2060052900,2060050600,0,0,107,000,-,¼Û¸²·Î,0,000,0,0,0,0,,5,,,OEXT2060052900,OEXT2060050600,OEXT2060160400,,sn_si-kg,206,00000,,0.00178617578427
49,216527,2060117400,2060040300,2060037000,0,0,107,000,-,µ¹¿î¸®±æ,0,000,0,0,0,0,,5,,,OEXT2060040300,OEXT2060037000,OEXT2060117400,,sn_si-kg,206,00000,,0.0150362442881
