,OBJECTID,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,ID½Å±ÔºÎ¿©,latitude,longitude
0,37653,2060004400,101,ÆÇ±³IC¾Õ»ç°Å¸®,1,,sn_si-kg,5,999,,,00000,206,,37.39619980732425,127.10298966807443
1,37654,2060003700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.393905369728884,127.10067360538153
2,37656,2060003500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.39154290111992,127.06747682429466
3,37657,2060003400,104,-,0,,sn_si-kg,5,999,,,00000,206,,37.391425651111035,127.06841523085939
4,37658,2060003300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.3913514642382,127.06432576178202
5,37659,2060002800,101,¿îÁßIC,0,,sn_si-kg,5,999,,,00000,206,,37.390670339316955,127.0604773865515
6,37660,2060002400,101,³«»ý³óÇù»ï°Å¸®,0,,sn_si-kg,5,999,,,00000,206,,37.38858865163604,127.10174204311977
7,37661,2060001800,104,¹éÇö°í°¡Â÷·Î,0,,sn_si-kg,5,999,,,00000,206,,37.382152120235446,127.10229207476823
8,37662,2060001700,104,¹éÇö°í°¡Â÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.38125621383119,127.1021860429023
9,37663,2060001500,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.37781996371251,127.13785698030028
10,37664,2060001300,101,Àå¾È»ï°Å¸®,0,,sn_si-kg,5,999,,,00000,206,,37.37452377670462,127.14237076210156
11,37665,2060001200,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.373728120424914,127.14534573106562
12,37666,2060001100,101,À²µ¿°ø¿øÀÔ±¸»ï°Å¸®,1,,sn_si-kg,5,999,,,00000,206,,37.37223396432239,127.14707226208805
13,37667,2060001000,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.37208337015062,127.14718388683764
14,37668,2060000900,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.370956088872674,127.147602012226
15,37669,2060000800,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.36960946385108,127.14816729277868
16,37670,2060000700,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.368855557697316,127.14863582426744
17,37671,2060000600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.36310396344402,127.14938441812603
18,37672,2060000500,105,-,0,,sn_si-kg,5,999,,,00000,206,,37.360526026270065,127.1475467309009
19,37673,2060000100,101,¸Ó³»±³Â÷·Î,0,,sn_si-kg,5,999,,,00000,206,,37.34253899482951,127.10234182436352
20,37678,2060043100,104,ÇÏÅ¾ÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.40285483890449,127.12825623110427
21,37684,2060052100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41233627684551,127.12398813688674
22,37685,2060054600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.413844807711314,127.12398788687517
23,37686,2060054500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41383458871513,127.12500216834019
24,37687,2060052300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41234099558818,127.12500891775198
25,37688,2060050100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.410372089185046,127.13044029310834
26,37689,2060050800,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.41131815167813,127.12870826183246
27,37690,2060050900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.411336808113674,127.12954516821492
28,37691,2060052500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41234368276241,127.1295442931746
29,37694,2060027000,103,-,0,,sn_si-kg,5,999,,,00000,206,,37.374741807438056,127.1209694806571
30,37695,2060029400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37733633890207,127.11623951173249
31,37696,2060001702,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.369615589133446,127.10166654323677
32,37697,2060023400,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.37081705728423,127.09280551159088
33,37698,2060002801,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.390309932416415,127.05756885590165
34,37699,2060030400,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.378253463910255,127.04798423065029
35,37700,2060039300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.389140713953566,127.05923848052396
36,37701,2060040900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.391904651607604,127.0647147932034
37,37702,2060002600,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.3888548077893,127.09394885565962
38,37703,2060030200,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.37801287008642,127.07920301228899
39,37704,2060040700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.391755838992765,127.0623328551718
40,37705,2060040300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.390936276035575,127.06361576142899
41,37706,2060033900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38222243282894,127.08264676185411
42,37707,2060034200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38273337004938,127.08490151146896
43,37708,2060001900,101,¾È°ñÀÔ±¸»ï°Å¸®,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38284380769392,127.13219554308034
44,37709,2060002000,101,»õ¸¶À»¿¬¼ö¿øÀÔ±¸»ï°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.383861869908685,127.13056269982974
45,37710,2060035800,104,ÀÌ¸ÅÁöÇÏÂ÷µµ,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38484658885994,127.1252478244478
46,37711,2060002100,101,ÀÌ¸Å»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38623208887492,127.12678554281001
47,37712,2060002500,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.388964870416544,127.12377185533467
48,37713,2060002200,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38780849517161,127.12504194985013
49,37714,2060038600,104,ÀÌ¸ÅÁöÇÏÂ÷µµ,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38787521407431,127.12779663707772
50,37715,2060039700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.39008249477456,127.1282273556725
51,37716,2060040000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.39071474514077,127.12820879276649
52,37717,2060041100,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.39310590122312,127.12827091793235
53,37718,2060041000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.39232418263629,127.12445310526164
54,37719,2060040200,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.39072658921191,127.1262256366058
55,37720,2060038900,101,»õ¸¶À»±æ,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38848077616001,127.12311648070101
56,37721,2060038500,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.387859776312325,127.1238252615733
57,37722,2060038400,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38736412037184,127.12313369912056
58,37723,2060038300,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38735715152541,127.12439857397112
59,37724,2060038000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.386875057361124,127.12492891856095
60,37725,2060037900,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38684836997987,127.12368210569412
61,37726,2060037400,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38636605728033,127.12425832470058
62,37727,2060036900,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38576321384511,127.12346426201964
63,37728,2060030700,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.378400619973945,127.1259502929787
64,37729,2060031900,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.380380275973266,127.1287278247845
65,37730,2060032600,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.380934244853506,127.12948051235696
66,37731,2060040500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.39128130722736,127.12857373045142
67,37732,2060033400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38178605749863,127.13071035591645
68,37733,2060031100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37934568242093,127.12991804331602
69,37734,2060031200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37947718308675,127.12752216849105
70,37735,2060030800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37851043258962,127.12871013691881
71,37736,2060035100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.383814088929284,127.12537026174607
72,37737,2060034600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38329971360076,127.12465776217721
73,37738,2060030500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37826565152238,127.13296266836869
74,37739,2060034900,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38373008865449,127.13332657453122
75,37740,2060039800,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.39029030741108,127.13291244932725
76,37741,2060002300,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38857330740359,127.10142529290783
77,37742,2060003600,101,ÆÇ±³ÆÄÃâ¼Ò»ï°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.39268349506193,127.10077882426037
78,37743,2060033800,101,¼­Çö»ç°Å¸®,1,,sn_si-kg,5,999,,,00000,206,,37.38219777611687,127.12171876159766
79,37744,2060031600,101,ºÐ´ç»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37996468307574,127.11859476148345
80,37745,2060032400,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.38086258867287,127.11754479312174
81,37746,2060033200,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38172208872271,127.1165931997981
82,37747,2060032900,104,¹éÇöÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.381422244865576,127.11166726230806
83,37748,2060034100,104,ÃÊ¸²ÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.382568182579064,127.11272466806292
84,37749,2060035500,101,¼ö³»»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.384011651093374,127.11400023045644
