,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,len
0,2060192100,2060002801,2060058500,0,0,105,000,-,¿îÁß·Î,0,000,0,,0,0,2060007101,5,NTIC20100618,,,TMPID3060042900,,,,206,41130,,0.000960510438587
1,2060192200,2060058500,2260004500,0,0,105,000,-,¿îÁß·Î,0,000,0,,0,0,2060007101,5,NTIC20100618,,TMPID3060042900,,,,,206,41130,,0.0188057589247
2,2060010700,2040000200,2060004900,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2040000200,OEXT2060004900,OEXT2060010700,,highway,206,00000,,0.0127316571392
3,2060010900,2040000200,2040000100,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2040000200,OEXT2040000100,OEXT2060010900,,highway,206,00000,,0.00888520384718
4,2060010800,2040000100,2040000200,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2040000100,OEXT2040000200,OEXT2060010800,,highway,206,00000,,0.00887381684897
5,2060007400,2060004100,2060002900,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004100,OEXT2060002900,OEXT2060007400,,highway,206,00000,,0.00428569865735
6,2060009900,2060004600,2060004800,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,101,0,5,0,0,,5,,,OEXT2060004600,OEXT2060004800,OEXT2060009900,,highway,206,00000,,0.00305585666167
7,2060009300,2060004100,2060004600,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,105,0,0,0,0,,5,,,OEXT2060004100,OEXT2060004600,OEXT2060009300,,highway,206,00000,,0.00240995039139
8,2060010300,2060004100,2060004800,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004100,OEXT2060004800,OEXT2060010300,,highway,206,00000,,0.00411896796197
9,2060011501,2060004900,1210000302,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004900,OEXT1210000302,OEXT2060011501,,highway,206,00000,,0.052550802152
10,2060011401,1210000302,2060004900,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT1210000302,OEXT2060004900,OEXT2060011401,,highway,206,00000,,0.0525093622161
11,2060010500,2060004800,2060004900,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004800,OEXT2060004900,OEXT2060010500,,highway,206,00000,,0.00348051567731
12,2060010400,2060004900,2060004800,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004900,OEXT2060004800,OEXT2060010400,,highway,206,00000,,0.00341026373779
13,2060010200,2060004800,2060004100,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060004800,OEXT2060004100,OEXT2060010200,,highway,206,00000,,0.00416498294646
14,2060007300,2060002900,2060004100,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060002900,OEXT2060004100,OEXT2060007300,,highway,206,00000,,0.00433640125329
15,2060011200,2060004900,2040000100,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2060004900,OEXT2040000100,OEXT2060011200,,highway,206,00000,,0.0124022106465
16,2060001201,2060002900,2060002901,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060002900,OEXT2060002901,OEXT2060001201,,highway,206,00000,,0.0265832976135
17,2060001101,2060002901,2060002900,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,000,0,5,0,0,,5,,,OEXT2060002901,OEXT2060002900,OEXT2060001101,,highway,206,00000,,0.0266098084485
18,2060009400,2060004600,2060004100,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2060004600,OEXT2060004100,OEXT2060009400,,highway,206,00000,,0.0057300788395
19,2060009700,2060004900,2060002900,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,101,0,5,0,0,,5,,,OEXT2060004900,OEXT2060002900,OEXT2060009700,,highway,206,00000,,0.0120282862247
20,2060009800,2060004800,2060004600,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2060004800,OEXT2060004600,OEXT2060009800,,highway,206,00000,,0.00701572700392
21,2060011300,2040000100,2060004900,0,0,101,000,100,¼­¿ï¿Ü°û¼øÈ¯°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2040000100,OEXT2060004900,OEXT2060011300,,highway,206,00000,,0.0090740307127
22,2060010600,2060004900,2040000200,0,0,101,000,1,°æºÎ°í¼Óµµ·Î,0,101,0,0,0,0,,5,,,OEXT2060004900,OEXT2040000200,OEXT2060010600,,highway,206,00000,,0.00566991801849
23,2060160600,2060052800,2060050700,0,0,107,000,-,Å¾°ñ2±æ,0,000,0,0,0,0,,5,,,OEXT2060052800,OEXT2060050700,OEXT2060160600,,sn_si-kg,206,00000,,0.00175326630485
24,2060159800,2060052700,2060050500,0,0,107,000,-,Å¾°ñ1±æ,0,000,0,0,0,0,,5,,,OEXT2060052700,OEXT2060050500,OEXT2060159800,,sn_si-kg,206,00000,,0.00170904320343
