행정구역,총인구수
중구,132822
용산구,244853
성동구,309093
광진구,375463
동대문구,366786
중랑구,427455
성북구,488932
강북구,346520
도봉구,368298
노원구,611230
은평구,488109
서대문구,324541
마포구,391865
양천구,500001
강서구,574127
구로구,423736
금천구,245195
영등포구,406833
동작구,402709
관악구,531434
서초구,434720
강남구,570095
송파구,685279
강동구,491871
서구,126040
동구,101514
영도구,146798
부산진구,395826
동래구,282779
남구,298458
북구,312218
해운대구,426729
사하구,358730
금정구,255419
연제구,212696
수영구,178267
사상구,257843
기장군,102557
수성구,461988
달서구,607083
달성군,178899
연수구,279230
남동구,473423
부평구,567493
계양구,347810
강화군,67104
옹진군,18739
광산구,363239
유성구,281692
대덕구,207549
울주군,201000
수원시,1077535
장안구,293692
권선구,306783
팔달구,216503
영통구,260557
성남시,980190
수정구,241070
중원구,258093
분당구,481027
의정부시,431801
안양시,621714
만안구,266261
동안구,355453
부천시,875204
원미구,448602
소사구,230557
오정구,196045
광명시,343982
평택시,419457
동두천시,95653
안산시,714891
상록구,379136
단원구,335755
고양시,950115
덕양구,394375
일산동구,269292
일산서구,286448
과천시,72279
구리시,196398
남양주시,564141
오산시,182516
시흥시,403797
군포시,287833
의왕시,147443
하남시,150479
용인시,876550
처인구,207935
기흥구,357935
수지구,310680
파주시,355632
이천시,202595
안성시,177937
김포시,238339
화성시,505838
광주시,249789
양주시,196706
포천시,158658
여주군,109250
연천군,45177
가평군,58890
양평군,95833
춘천시,269950
원주시,314678
강릉시,218503
동해시,95236
태백시,50864
속초시,84302
삼척시,72046
홍천군,69893
횡성군,44254
영월군,40407
평창군,43622
정선군,41045
철원군,48928
화천군,24364
양구군,21843
인제군,31842
고성군,30112
양양군,27929
청주시,655971
상당구,241589
흥덕구,414382
충주시,208481
제천시,137264
청원군,152944
보은군,34956
옥천군,54025
영동군,50523
증평군,33533
진천군,62094
괴산군,36827
음성군,91093
단양군,31817
천안시,557673
동남구,247323
서북구,310350
공주시,124930
보령시,107346
아산시,265191
서산시,160468
논산시,127507
계룡시,43088
금산군,56555
연기군,81871
부여군,75029
서천군,60085
청양군,32541
홍성군,88078
예산군,87002
태안군,63247
당진군,144903
전주시,641525
완산구,357919
덕진구,283606
군산시,272601
익산시,307289
정읍시,122000
남원시,87775
김제시,94346
완주군,85119
진안군,27543
무주군,25578
장수군,23386
임실군,30593
순창군,30209
고창군,60861
부안군,60138
목포시,245422
여수시,293488
순천시,272620
나주시,90118
광양시,145512
담양군,47808
곡성군,31886
구례군,27375
고흥군,73924
보성군,48792
화순군,69368
장흥군,42394
강진군,41624
해남군,79579
영암군,60082
무안군,74475
함평군,36702
영광군,57362
장성군,46514
완도군,54269
진도군,33743
신안군,45428
포항시,514755
경주시,267098
김천시,136136
안동시,167886
구미시,404920
영주시,113926
영천시,103190
상주시,105607
문경시,77391
경산시,240708
군위군,24736
의성군,58832
청송군,26715
영양군,18451
영덕군,41377
청도군,44391
고령군,34678
성주군,45289
칠곡군,119087
예천군,47049
봉화군,34567
울진군,52430
울릉군,10701
창원시,1090181
의창구,251647
성산구,251073
마산합포구,186420
마산회원구,225182
진해구,175859
진주시,335037
통영시,140297
사천시,114148
김해시,503348
밀양시,110479
거제시,228355
양산시,260239
의령군,30162
함안군,67207
창녕군,61714
남해군,49328
하동군,51509
산청군,35591
함양군,41197
거창군,63421
합천군,51092
제주시,417539
서귀포시,153716
